"","FIPS","State","County","FFRPTH11","FFRPTH16","FFRPTH12","FFRPTH13","FFRPTH14","FFRPTH15"
"2560",48073,"TX","Cherokee",0.548202678,0.520271312,NA,NA,NA,0.520271312
"2561",48075,"TX","Childress",0.853485064,0.845665962,NA,NA,NA,0.845665962
"2562",48077,"TX","Clay",0.281267579,0.292911541,NA,NA,NA,0.292911541
"2563",48079,"TX","Cochran",0,0,NA,NA,NA,0
"2564",48081,"TX","Coke",0,0.306466442,NA,NA,NA,0.306466442
"2565",48083,"TX","Coleman",0.457404231,0.831255195,NA,NA,NA,0.831255195
"2566",48085,"TX","Collin",0.732199325,0.852031879,NA,NA,NA,0.852031879
"2567",48087,"TX","Collingsworth",0.973709834,1.651254954,NA,NA,NA,1.651254954
"2568",48089,"TX","Colorado",0.721674284,0.760926428,NA,NA,NA,0.760926428
"2569",48091,"TX","Comal",0.72296254,0.708204738,NA,NA,NA,0.708204738
"2570",48093,"TX","Comanche",0.50530571,0.517713187,NA,NA,NA,0.517713187
"2571",48095,"TX","Concho",0.485790624,0.468055231,NA,NA,NA,0.468055231
"2572",48097,"TX","Cooke",0.41684035,0.509632046,NA,NA,NA,0.509632046
"2573",48099,"TX","Coryell",0.417531086,0.453678129,NA,NA,NA,0.453678129
"2574",48101,"TX","Cottle",1.328021248,0.712250712,NA,NA,NA,0.712250712
"2575",48103,"TX","Crane",0.458926113,0.832119825,NA,NA,NA,0.832119825
"2576",48105,"TX","Crockett",1.36761488,1.368738024,NA,NA,NA,1.368738024
"2577",48107,"TX","Crosby",0.165562914,0.169004563,NA,NA,NA,0.169004563
"2578",48109,"TX","Culberson",1.254180602,0.901306895,NA,NA,NA,0.901306895
"2579",48111,"TX","Dallam",0.581226388,0.826901874,NA,NA,NA,0.826901874
"2580",48113,"TX","Dallas",0.767399475,0.857210657,NA,NA,NA,0.857210657
"2581",48115,"TX","Dawson",1.01862631,0.766753565,NA,NA,NA,0.766753565
"2582",48117,"TX","Deaf Smith",0.769625449,0.583554377,NA,NA,NA,0.583554377
"2583",48119,"TX","Delta",0.58297707,0.19432569,NA,NA,NA,0.19432569
"2584",48121,"TX","Denton",0.599183012,0.721267749,NA,NA,NA,0.721267749
"2585",48123,"TX","DeWitt",0.891000891,0.776020953,NA,NA,NA,0.776020953
"2586",48125,"TX","Dickens",0.833333333,0.908677874,NA,NA,NA,0.908677874
"2587",48127,"TX","Dimmit",0.6923153,0.556379822,NA,NA,NA,0.556379822
"2588",48129,"TX","Donley",1.626898048,1.179245283,NA,NA,NA,1.179245283
"2589",48131,"TX","Duval",0.339126749,0.436719364,NA,NA,NA,0.436719364
"2590",48133,"TX","Eastland",0.968992248,0.819537781,NA,NA,NA,0.819537781
"2591",48135,"TX","Ector",0.766415254,0.710750095,NA,NA,NA,0.710750095
"2592",48137,"TX","Edwards",0.50530571,0.521376434,NA,NA,NA,0.521376434
"2593",48139,"TX","Ellis",0.551195569,0.647341446,NA,NA,NA,0.647341446
"2594",48141,"TX","El Paso",0.640762764,0.717914536,NA,NA,NA,0.717914536
"2595",48143,"TX","Erath",0.82209377,0.772144874,NA,NA,NA,0.772144874
"2596",48145,"TX","Falls",0.448179272,0.288500375,NA,NA,NA,0.288500375
"2597",48147,"TX","Fannin",0.442843647,0.383990548,NA,NA,NA,0.383990548
"2598",48149,"TX","Fayette",0.727449079,0.797766254,NA,NA,NA,0.797766254
"2599",48151,"TX","Fisher",0.252716705,0.25766555,NA,NA,NA,0.25766555
"2600",48153,"TX","Floyd",0.628042079,0.850918993,NA,NA,NA,0.850918993
"2601",48155,"TX","Foard",1.468428781,1.651527663,NA,NA,NA,1.651527663
"2602",48157,"TX","Fort Bend",0.560594494,0.62132897,NA,NA,NA,0.62132897
"2603",48159,"TX","Franklin",0.378680299,0.375269725,NA,NA,NA,0.375269725
"2604",48161,"TX","Freestone",0.612369871,0.610780272,NA,NA,NA,0.610780272
"2605",48163,"TX","Frio",0.914547013,0.567449059,NA,NA,NA,0.567449059
"2606",48165,"TX","Gaines",0.391017763,0.53708315,NA,NA,NA,0.53708315
"2607",48167,"TX","Galveston",0.690100775,0.740952184,NA,NA,NA,0.740952184
"2608",48169,"TX","Garza",0.913937548,0.931098696,NA,NA,NA,0.931098696
"2609",48171,"TX","Gillespie",0.599089384,0.494202623,NA,NA,NA,0.494202623
"2610",48173,"TX","Glasscock",0,0.740740741,NA,NA,NA,0.740740741
"2611",48175,"TX","Goliad",0.554938957,0.398883127,NA,NA,NA,0.398883127
"2612",48177,"TX","Gonzales",0.861108297,0.718976178,NA,NA,NA,0.718976178
"2613",48179,"TX","Gray",0.529777935,0.571730143,NA,NA,NA,0.571730143
"2614",48181,"TX","Grayson",0.667369739,0.701995226,NA,NA,NA,0.701995226
"2615",48183,"TX","Gregg",0.962456057,1.043739987,NA,NA,NA,1.043739987
"2616",48185,"TX","Grimes",0.337812477,0.32639443,NA,NA,NA,0.32639443
"2617",48187,"TX","Guadalupe",0.471319474,0.459261559,NA,NA,NA,0.459261559
"2618",48189,"TX","Hale",0.522006704,0.643105615,NA,NA,NA,0.643105615
"2619",48191,"TX","Hall",1.208094231,0.964010283,NA,NA,NA,0.964010283
"2620",48193,"TX","Hamilton",0.834923664,0.971935366,NA,NA,NA,0.971935366
"2621",48195,"TX","Hansford",0.538213132,0.723065799,NA,NA,NA,0.723065799
"2622",48197,"TX","Hardeman",0.721327242,0.751691305,NA,NA,NA,0.751691305
"2623",48199,"TX","Hardin",0.617496958,0.710972077,NA,NA,NA,0.710972077
"2624",48201,"TX","Harris",0.675705413,0.740517574,NA,NA,NA,0.740517574
"2625",48203,"TX","Harrison",0.557867439,0.55447325,NA,NA,NA,0.55447325
"2626",48205,"TX","Hartley",0.165892502,0.175254118,NA,NA,NA,0.175254118
"2627",48207,"TX","Haskell",0.67136623,1.214223764,NA,NA,NA,1.214223764
"2628",48209,"TX","Hays",0.698383915,0.709584281,NA,NA,NA,0.709584281
"2629",48211,"TX","Hemphill",0.506200962,0.727096461,NA,NA,NA,0.727096461
"2630",48213,"TX","Henderson",0.583815616,0.749681385,NA,NA,NA,0.749681385
"2631",48215,"TX","Hidalgo",0.460586505,0.45872261,NA,NA,NA,0.45872261
"2632",48217,"TX","Hill",0.59686221,0.68238037,NA,NA,NA,0.68238037
"2633",48219,"TX","Hockley",0.610633751,0.562697485,NA,NA,NA,0.562697485
"2634",48221,"TX","Hood",0.659643405,0.792839776,NA,NA,NA,0.792839776
"2635",48223,"TX","Hopkins",0.510594843,0.497196365,NA,NA,NA,0.497196365
"2636",48225,"TX","Houston",0.597652081,0.480601188,NA,NA,NA,0.480601188
"2637",48227,"TX","Howard",0.714510275,0.791960238,NA,NA,NA,0.791960238
"2638",48229,"TX","Hudspeth",0,0,NA,NA,NA,0
"2639",48231,"TX","Hunt",0.495928771,0.630853066,NA,NA,NA,0.630853066
"2640",48233,"TX","Hutchinson",0.772270931,0.60268892,NA,NA,NA,0.60268892
"2641",48235,"TX","Irion",0,0.636942675,NA,NA,NA,0.636942675
"2642",48237,"TX","Jack",0.774850565,0.798539813,NA,NA,NA,0.798539813
"2643",48239,"TX","Jackson",0.71204785,0.740690863,NA,NA,NA,0.740690863
"2644",48241,"TX","Jasper",0.552608311,0.536708003,NA,NA,NA,0.536708003
"2645",48243,"TX","Jeff Davis",0.438212095,0.445434298,NA,NA,NA,0.445434298
"2646",48245,"TX","Jefferson",0.674830404,0.660274893,NA,NA,NA,0.660274893
"2647",48247,"TX","Jim Hogg",0.756715853,0.762776506,NA,NA,NA,0.762776506
"2648",48249,"TX","Jim Wells",0.703781003,0.729660708,NA,NA,NA,0.729660708
"2649",48251,"TX","Johnson",0.631338042,0.693613234,NA,NA,NA,0.693613234
"2650",48253,"TX","Jones",0.542754231,0.400120036,NA,NA,NA,0.400120036
"2651",48255,"TX","Karnes",0.468321402,0.720649895,NA,NA,NA,0.720649895
"2652",48257,"TX","Kaufman",0.579914059,0.567575352,NA,NA,NA,0.567575352
"2653",48259,"TX","Kendall",0.78360808,0.667238585,NA,NA,NA,0.667238585
"2654",48261,"TX","Kenedy",0,0,NA,NA,NA,0
"2655",48263,"TX","Kent",0,0,NA,NA,NA,0
"2656",48265,"TX","Kerr",0.685387143,0.877261385,NA,NA,NA,0.877261385
"2657",48267,"TX","Kimble",0.435350457,1.129177958,NA,NA,NA,1.129177958
"2658",48269,"TX","King",0,0,NA,NA,NA,0
"2659",48271,"TX","Kinney",0,0.824175824,NA,NA,NA,0.824175824
"2660",48273,"TX","Kleberg",0.81184038,0.765623505,NA,NA,NA,0.765623505
"2661",48275,"TX","Knox",0.268817204,0.534759358,NA,NA,NA,0.534759358
"2662",48277,"TX","Lamar",0.601648517,0.766670029,NA,NA,NA,0.766670029
"2663",48279,"TX","Lamb",0.427015871,0.378129018,NA,NA,NA,0.378129018
"2664",48281,"TX","Lampasas",0.602228245,0.58091688,NA,NA,NA,0.58091688
"2665",48283,"TX","La Salle",0.571510216,1.050006563,NA,NA,NA,1.050006563
"2666",48285,"TX","Lavaca",0.259000259,0.452034154,NA,NA,NA,0.452034154
"2667",48287,"TX","Lee",0.664451827,0.647134957,NA,NA,NA,0.647134957
"2668",48289,"TX","Leon",0.713012478,0.755989765,NA,NA,NA,0.755989765
"2669",48291,"TX","Liberty",0.579175991,0.528404832,NA,NA,NA,0.528404832
"2670",48293,"TX","Limestone",0.636510227,0.552556637,NA,NA,NA,0.552556637
"2671",48295,"TX","Lipscomb",0.300390508,0.284981476,NA,NA,NA,0.284981476
"2672",48297,"TX","Live Oak",0.60858981,0.831808351,NA,NA,NA,0.831808351
"2673",48299,"TX","Llano",0.944336604,0.826446281,NA,NA,NA,0.826446281
"2674",48301,"TX","Loving",0,0,NA,NA,NA,0
"2675",48303,"TX","Lubbock",0.924527503,0.883225659,NA,NA,NA,0.883225659
"2676",48305,"TX","Lynn",0.509597418,0.517687662,NA,NA,NA,0.517687662
"2677",48307,"TX","McCulloch",0.726920281,0.985100357,NA,NA,NA,0.985100357
"2678",48309,"TX","McLennan",0.819927174,0.836437986,NA,NA,NA,0.836437986
"2679",48311,"TX","McMullen",0,0,NA,NA,NA,0
"2680",48313,"TX","Madison",0.946211515,1.560947921,NA,NA,NA,1.560947921
"2681",48315,"TX","Marion",0.763431625,0.594825022,NA,NA,NA,0.594825022
"2682",48317,"TX","Martin",0.613622418,0.17580872,NA,NA,NA,0.17580872
"2683",48319,"TX","Mason",1.243162606,0.961307378,NA,NA,NA,0.961307378
"2684",48321,"TX","Matagorda",0.654289687,0.646603982,NA,NA,NA,0.646603982
"2685",48323,"TX","Maverick",0.561350138,0.517339495,NA,NA,NA,0.517339495
"2686",48325,"TX","Medina",0.537368613,0.48784454,NA,NA,NA,0.48784454
"2687",48327,"TX","Menard",0,0.475737393,NA,NA,NA,0.475737393
"2688",48329,"TX","Midland",0.820420626,0.734066176,NA,NA,NA,0.734066176
"2689",48331,"TX","Milam",0.650485832,0.565999596,NA,NA,NA,0.565999596
"2690",48333,"TX","Mills",0.61462815,0.612995505,NA,NA,NA,0.612995505
"2691",48335,"TX","Mitchell",0.638705557,0.707630617,NA,NA,NA,0.707630617
"2692",48337,"TX","Montague",0.607410407,0.61741099,NA,NA,NA,0.61741099
"2693",48339,"TX","Montgomery",0.604533364,0.618550752,NA,NA,NA,0.618550752
"2694",48341,"TX","Moore",0.67904029,0.50148165,NA,NA,NA,0.50148165
"2695",48343,"TX","Morris",0.861393892,0.800640512,NA,NA,NA,0.800640512
"2696",48345,"TX","Motley",0,0.853242321,NA,NA,NA,0.853242321
"2697",48347,"TX","Nacogdoches",0.700802876,0.533032804,NA,NA,NA,0.533032804
"2698",48349,"TX","Navarro",0.457827815,0.682170543,NA,NA,NA,0.682170543
"2699",48351,"TX","Newton",0,0.070492034,NA,NA,NA,0.070492034
"2700",48353,"TX","Nolan",0.594883998,1.002137894,NA,NA,NA,1.002137894
"2701",48355,"TX","Nueces",0.792483065,0.851937189,NA,NA,NA,0.851937189
"2702",48357,"TX","Ochiltree",0.383803493,0.291403594,NA,NA,NA,0.291403594
"2703",48359,"TX","Oldham",0.482858522,0.964320154,NA,NA,NA,0.964320154
"2704",48361,"TX","Orange",0.655841238,0.650825957,NA,NA,NA,0.650825957
"2705",48363,"TX","Palo Pinto",0.891202053,0.959761126,NA,NA,NA,0.959761126
"2706",48365,"TX","Panola",0.24995834,0.341296928,NA,NA,NA,0.341296928
"2707",48367,"TX","Parker",0.633917101,0.659625488,NA,NA,NA,0.659625488
"2708",48369,"TX","Parmer",0.292397661,0.203707476,NA,NA,NA,0.203707476
"2709",48371,"TX","Pecos",0.639427073,0.440889337,NA,NA,NA,0.440889337
"2710",48373,"TX","Polk",0.438788943,0.502775741,NA,NA,NA,0.502775741
"2711",48375,"TX","Potter",0.964738008,1.012095369,NA,NA,NA,1.012095369
"2712",48377,"TX","Presidio",0.773594636,1.116382919,NA,NA,NA,1.116382919
"2713",48379,"TX","Rains",0.636363636,0.619085522,NA,NA,NA,0.619085522
"2714",48381,"TX","Randall",0.623799995,0.60396959,NA,NA,NA,0.60396959
"2715",48383,"TX","Reagan",0.29489826,0.535045479,NA,NA,NA,0.535045479
"2716",48385,"TX","Real",0.582920431,0.883132175,NA,NA,NA,0.883132175
"2717",48387,"TX","Red River",0.236518448,0.245559466,NA,NA,NA,0.245559466
"2718",48389,"TX","Reeves",0.362345097,0.398168425,NA,NA,NA,0.398168425
"2719",48391,"TX","Refugio",1.366306873,1.096942273,NA,NA,NA,1.096942273
"2720",48393,"TX","Roberts",0,0,NA,NA,NA,0
"2721",48395,"TX","Robertson",0.480365077,0.474552141,NA,NA,NA,0.474552141
"2722",48397,"TX","Rockwall",0.740429943,0.867061304,NA,NA,NA,0.867061304
"2723",48399,"TX","Runnels",0.571755289,0.390053632,NA,NA,NA,0.390053632
"2724",48401,"TX","Rusk",0.44709389,0.586499168,NA,NA,NA,0.586499168
"2725",48403,"TX","Sabine",0.27972028,0.19258546,NA,NA,NA,0.19258546
"2726",48405,"TX","San Augustine",0.113726828,0.241458409,NA,NA,NA,0.241458409
"2727",48407,"TX","San Jacinto",0.149359621,0.144107793,NA,NA,NA,0.144107793
"2728",48409,"TX","San Patricio",0.760220309,0.743361779,NA,NA,NA,0.743361779
"2729",48411,"TX","San Saba",0.993871128,0.851498638,NA,NA,NA,0.851498638
"2730",48413,"TX","Schleicher",0,0,NA,NA,NA,0
"2731",48415,"TX","Scurry",1.066603461,1.147446931,NA,NA,NA,1.147446931
"2732",48417,"TX","Shackelford",0.898741762,0.594530321,NA,NA,NA,0.594530321
"2733",48419,"TX","Shelby",0.19432569,0.38794274,NA,NA,NA,0.38794274
"2734",48421,"TX","Sherman",0.331785003,0.650406504,NA,NA,NA,0.650406504
"2735",48423,"TX","Smith",0.747696952,0.901000865,NA,NA,NA,0.901000865
"2736",48425,"TX","Somervell",0.950231619,1.152073733,NA,NA,NA,1.152073733
"2737",48427,"TX","Starr",0.470916826,0.406688461,NA,NA,NA,0.406688461
"2738",48429,"TX","Stephens",0.734830989,0.531462585,NA,NA,NA,0.531462585
"2739",48431,"TX","Sterling",1.710863986,1.4803849,NA,NA,NA,1.4803849
"2740",48433,"TX","Stonewall",0.683526999,2.139800285,NA,NA,NA,2.139800285
"2741",48435,"TX","Sutton",1.003009027,0.517464424,NA,NA,NA,0.517464424
"2742",48437,"TX","Swisher",0.512820513,0.268817204,NA,NA,NA,0.268817204
"2743",48439,"TX","Tarrant",0.69106406,0.804255332,NA,NA,NA,0.804255332
"2744",48441,"TX","Taylor",0.85805898,0.94143952,NA,NA,NA,0.94143952
"2745",48443,"TX","Terrell",1.052631579,1.222493888,NA,NA,NA,1.222493888
"2746",48445,"TX","Terry",0.711743772,0.545766412,NA,NA,NA,0.545766412
"2747",48447,"TX","Throckmorton",0,0,NA,NA,NA,0
"2748",48449,"TX","Titus",0.616846066,0.58255404,NA,NA,NA,0.58255404
"2749",48451,"TX","Tom Green",0.689019534,0.789527302,NA,NA,NA,0.789527302
"2750",48453,"TX","Travis",0.791193638,0.785334664,NA,NA,NA,0.785334664
"2751",48455,"TX","Trinity",0.340437121,0.48232619,NA,NA,NA,0.48232619
"2752",48457,"TX","Tyler",0.415512465,0.419893627,NA,NA,NA,0.419893627
"2753",48459,"TX","Upshur",0.427855938,0.46495693,NA,NA,NA,0.46495693
"2754",48461,"TX","Upton",1.218769043,0.540979172,NA,NA,NA,0.540979172
"2755",48463,"TX","Uvalde",0.715226802,0.885412824,NA,NA,NA,0.885412824
"2756",48465,"TX","Val Verde",0.551583248,0.796682532,NA,NA,NA,0.796682532
"2757",48467,"TX","Van Zandt",0.400068583,0.588484102,NA,NA,NA,0.588484102
"2758",48469,"TX","Victoria",0.765451845,0.801047857,NA,NA,NA,0.801047857
"2759",48471,"TX","Walker",0.511636066,0.557872275,NA,NA,NA,0.557872275
"2760",48473,"TX","Waller",0.385592451,0.419513364,NA,NA,NA,0.419513364
"2761",48475,"TX","Ward",0.749625187,0.517732332,NA,NA,NA,0.517732332
"2762",48477,"TX","Washington",0.854021262,0.804112461,NA,NA,NA,0.804112461
"2763",48479,"TX","Webb",0.586859052,0.642435233,NA,NA,NA,0.642435233
"2764",48481,"TX","Wharton",0.702859913,0.864677907,NA,NA,NA,0.864677907
"2765",48483,"TX","Wheeler",0.918273646,0.720980534,NA,NA,NA,0.720980534
"2766",48485,"TX","Wichita",0.718786322,0.776787754,NA,NA,NA,0.776787754
"2767",48487,"TX","Wilbarger",0.892857143,1.240887234,NA,NA,NA,1.240887234
"2768",48489,"TX","Willacy",0.315798971,0.321691176,NA,NA,NA,0.321691176
"2769",48491,"TX","Williamson",0.671676727,0.676432303,NA,NA,NA,0.676432303
"2770",48493,"TX","Wilson",0.480901347,0.435775057,NA,NA,NA,0.435775057
"2771",48495,"TX","Winkler",0.418935903,0.381097561,NA,NA,NA,0.381097561
"2772",48497,"TX","Wise",0.633829833,0.604979446,NA,NA,NA,0.604979446
"2773",48499,"TX","Wood",0.474608448,0.319466947,NA,NA,NA,0.319466947
"2774",48501,"TX","Yoakum",0.753768844,1.043478261,NA,NA,NA,1.043478261
"2775",48503,"TX","Young",0.981140303,0.885004702,NA,NA,NA,0.885004702
"2776",48505,"TX","Zapata",0.42185193,0.346044709,NA,NA,NA,0.346044709
"2777",48507,"TX","Zavala",0.505689001,0.248118435,NA,NA,NA,0.248118435
"2778",49001,"UT","Beaver",1.372369625,1.549426712,NA,NA,NA,1.549426712
"2779",49003,"UT","Box Elder",0.477707006,0.604069921,NA,NA,NA,0.604069921
"2780",49005,"UT","Cache",0.696803414,0.751990322,NA,NA,NA,0.751990322
"2781",49007,"UT","Carbon",0.75096217,0.736340877,NA,NA,NA,0.736340877
