"","LACCESS_POP15","PCT_LACCESS_POP15","LACCESS_LOWI15","PCT_LACCESS_LOWI15","LACCESS_HHNV15","PCT_LACCESS_HHNV15","LACCESS_SNAP15","PCT_LACCESS_SNAP15","LACCESS_CHILD15","PCT_LACCESS_CHILD15","LACCESS_SENIORS15","PCT_LACCESS_SENIORS15","LACCESS_WHITE15","PCT_LACCESS_WHITE15","LACCESS_BLACK15","PCT_LACCESS_BLACK15","LACCESS_HISP15","PCT_LACCESS_HISP15","LACCESS_NHASIAN15","PCT_LACCESS_NHASIAN15","LACCESS_NHNA15","PCT_LACCESS_NHNA15","LACCESS_MULTIR15","PCT_LACCESS_MULTIR15","PCT_FREE_LUNCH15","PCT_REDUCED_LUNCH15","FOODINSEC_15_17","VLFOODSEC_15_17","POVRATE15","CHILDPOVRATE15"
"LACCESS_SENIORS15",0.950227254332241,0.0402218229224137,0.860588626475387,-0.0471766555694215,0.877008027602847,-0.147548815727209,0.819166045600892,-0.0143440389577723,0.914248787224885,0.0483918414226699,1,-0.00888998344454734,0.958313977903784,0.0135070357717557,0.608500721272154,0.0891891128688716,0.627385042557239,0.0490120442595022,0.690580259515267,0.28381785906108,0.254664466081346,-0.0388843823019327,0.725135734985157,0.0729598604243989,-0.0670463703117821,-0.168935019430167,-0.0476535967420165,-0.0770109643157904,-0.114225174941518,-0.116598366401881
"PCT_LACCESS_SENIORS15",-0.0517542340459263,0.914522251210158,-0.0483287302223229,0.821458912432429,-0.107637194828367,0.0782787612709195,-0.0433491864667826,0.523281485589045,-0.0597260178297787,0.818308713590036,-0.00888998344454734,1,-0.0420642718305938,0.93196345722136,-0.0561359591423451,0.025458512442116,-0.0461577539507474,0.319701177983945,-0.0590960750391982,0.0304687220919441,0.00105354824682026,0.121442728941515,-0.0555233072035061,0.414660445230884,-0.128304062967085,0.24306999920302,-0.0662951120810744,-0.0598950939579847,-0.0807790138477332,-0.0408025486075728
"LACCESS_WHITE15",0.977933117726604,0.0411803898658697,0.883519313257648,-0.0610034983440633,0.864708827797357,-0.168378117364044,0.840154371576432,-0.0297348092640304,0.963010001345525,0.0634400878578863,0.958313977903784,-0.0420642718305938,1,0.0220131524511608,0.590896045871336,0.0605413014047685,0.677904567851616,0.0644842722861788,0.683285656055439,0.294939801240545,0.249438683537277,-0.0463751367696395,0.739339537565381,0.0770516426311339,-0.106249900982763,-0.170541579320871,-0.0416417918837114,-0.0637412778295844,-0.145888479151522,-0.163424185931299
"PCT_LACCESS_WHITE15",-0.00217566517236198,0.947393205390726,-0.0112069177830163,0.800817289710191,-0.0864463677735398,-0.0292517600393495,-0.0120871357460968,0.461381237232772,-0.00447090319906974,0.885775687381953,0.0135070357717557,0.93196345722136,0.0220131524511608,1,-0.0581831665624959,-0.0696217002368729,-0.017531477560921,0.366419194762497,-0.042472805341464,0.0681059423163645,-0.021086627921636,0.0542969594939282,-0.0324542413862967,0.448449369205496,-0.25529931430349,0.274999910645707,-0.0602172405775931,-0.0472117104246276,-0.200405416942767,-0.18934260946425
"LACCESS_BLACK15",0.713947076042091,0.0222610973226896,0.753455491299816,-0.000154448118441491,0.714011619372436,-0.0746465743639416,0.774268574191605,0.0400375000993174,0.722400872644053,0.0408175092876498,0.608500721272154,-0.0561359591423451,0.590896045871336,-0.0581831665624959,1,0.35074330389224,0.474689894401632,0.0152801831349555,0.461354254767344,0.180661723988557,0.153422924675956,-0.034627822610778,0.553873488033305,0.0445369825719412,0.0784698135880885,-0.169342594137823,0.0113048736320431,-0.00858416534008142,0.0219725348005255,0.0260339890820677
"PCT_LACCESS_BLACK15",0.11491352355181,0.13445284500667,0.161699005881186,0.242909111225137,0.185472900195758,0.255939768884683,0.196652392333222,0.371282795653138,0.112998152186589,0.116809678776586,0.0891891128688716,0.025458512442116,0.0605413014047685,-0.0696217002368729,0.35074330389224,1,0.0220777883620459,-0.015606585555305,0.0294978329286196,0.0659867498192836,-0.0106632039095695,-0.0479529734451587,0.0454669515357898,0.0264483851944539,0.407447901098271,-0.339822302610547,0.0624939752102447,0.0166083653096248,0.377907674675519,0.371513447743051
"LACCESS_HISP15",0.731441558221805,0.00536246460479166,0.834579543286356,-0.000503317397496597,0.60849386741188,-0.0930388154452696,0.723783063610716,0.0197745969374082,0.766688567686297,0.0329458999183619,0.627385042557239,-0.0461577539507474,0.677904567851616,-0.017531477560921,0.474689894401632,0.0220777883620459,1,0.199491021769521,0.559740495682554,0.151492017396519,0.267955689219529,-0.0182768303735294,0.889427172857959,0.152349104753312,0.0481366668162603,-0.0549828912826338,-0.0333595434312395,-0.0425939015520869,0.0116704575201782,0.00306333853684214
"PCT_LACCESS_HISP15",0.067508602894242,0.413788417025724,0.114820327329744,0.482355410176187,0.0126492208250231,0.00292041834097606,0.102624007915505,0.408024787757293,0.0801651924177424,0.446680565260999,0.0490120442595022,0.319701177983945,0.0644842722861788,0.366419194762497,0.0152801831349555,-0.015606585555305,0.199491021769521,1,0.0264325069417109,0.0923064661744724,0.0531979782835067,0.0217127284458252,0.125347858027006,0.804001027923013,0.131279108418682,0.0500311994993271,-0.0558062958870827,-0.0300886769144056,0.0814423839328286,0.0811691289227574
"LACCESS_NHASIAN15",0.750993188393329,-0.0122379251973401,0.623124889416759,-0.0756000919811434,0.54847205591746,-0.122189353605423,0.514463900395815,-0.0674942436213745,0.744343672831453,0.00346729656260559,0.690580259515267,-0.0590960750391982,0.683285656055439,-0.042472805341464,0.461354254767344,0.0294978329286196,0.559740495682554,0.0264325069417109,1,0.431681936371894,0.188863175418409,-0.025956025878841,0.747414362199355,0.0814018638593322,-0.0671557031976823,-0.0679674067489611,-0.0954482061967599,-0.10709737760412,-0.106439515873528,-0.12299165340595
"PCT_LACCESS_NHASIAN15",0.31472820506305,0.152909794535964,0.243093248105862,0.0835038370171312,0.230105408390341,-0.00283608804069854,0.219342331009293,0.0607245203445833,0.310290732117175,0.13914390741286,0.28381785906108,0.0304687220919441,0.294939801240545,0.0681059423163645,0.180661723988557,0.0659867498192836,0.151492017396519,0.0923064661744724,0.431681936371894,1,0.0786804082879752,0.0645601067395654,0.259394497452807,0.242331636969969,-0.13603554821764,-0.0784303459500971,-0.128588758674937,-0.146128884628458,-0.112885938457342,-0.154555267650487
